price,bedrooms,bathrooms,floors,waterfront,view,condition,condition_1,condition_2,condition_3,condition_4,condition_5,grade,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,basement,renovated,yr_built,sqft_living15,sqft_lot15
625000,4,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,2470,5669
861990,5,2.75,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,3625,5639
488000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,3050,9232
210490,3,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1966,1228,8840
785000,4,2.5,2,0,0,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1981,2680,13685
345000,5,2.5,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1966,1990,9133
600000,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1950,1410,4080
885000,4,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1995,1950,5000
292500,4,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2008,2250,4500
301000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,2690,4750
430000,4,3,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1991,2270,8542
289000,3,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,1290,8750
549000,3,1.75,3,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1580,3090
975000,4,2.5,2,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1989,2750,11049
287000,4,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2005,2221,4557
325000,3,2,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1972,1640,4745
571000,4,2,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1916,1510,7807
360000,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2005,2420,5000
720000,4,2.5,2,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,2002,3350,39750
390000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,2350,5363
355000,2,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1948,1720,6720
356000,3,1.5,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1964,1850,8797
940000,3,1.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1925,2020,4800
305000,5,2.25,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1961,1590,8165
461000,3,3.25,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,2006,1900,7349
335000,2,1.75,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,2006,1030,1106
243500,4,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1988,1980,7510
1100000,5,2.75,2,0,0,4,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,2520,6250
153000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1962,1350,10500
430000,3,1.5,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1939,1570,4500
700000,3,1.5,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1939,1570,4500
905000,4,2.5,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,1,1946,1950,6045
247500,3,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1967,1750,15616
850830,3,2.5,1.5,0,0,5,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1910,2200,4500
290000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,1640,14910
375000,3,2.5,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1978,2250,8162
460000,3,1,1.5,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1939,1240,4005
680000,4,2.5,2,0,0,4,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,2990,35001
597750,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1984,1940,9636
570000,3,1.75,1,0,0,5,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1905,1380,3536
329950,3,1.75,1,0,2,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1971,2090,5500
518500,3,3.5,3,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,1620,3166
395000,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1953,1710,6000
445000,4,1.75,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1924,1850,4400
260000,4,2.25,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1978,2090,8400
822500,5,3.5,2,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1926,1700,4960
430000,4,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2004,1970,3748
660500,4,2.25,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1986,2060,9793
453246,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,2014,1690,1662
675000,4,3.5,3,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2005,1540,2285
199000,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1956,1550,19265
452000,4,2.25,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1968,1550,10436
519950,3,2.25,3,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1350,1310
665000,2,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1925,1170,3600
527700,5,2.5,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1968,2820,9375
420000,3,1,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1923,1560,7940
500000,4,2.25,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1961,2230,8824
560000,3,1,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1947,1420,5000
282950,3,1,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,1680,8633
650000,5,3.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1996,2640,13675
320000,4,2.75,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1967,1980,7875
320000,4,1.75,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1968,1730,11180
255000,5,2.25,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1962,1010,11680
420000,3,2,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1975,2110,36590
284000,3,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,1070,7920
313000,3,1.5,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1955,1480,7940
917500,4,2.5,2,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,1984,3740,35230
425000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,2008,1590,1795
399950,5,2.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1986,1280,2150
269950,3,1.5,1,0,2,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1975,1950,8941
260000,3,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1988,1670,6183
589000,4,3,2,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1961,2290,9600
835000,4,2.75,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1993,2260,9984
1100000,5,3,1,0,2,4,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,1986,2540,10270
615000,4,1,1.5,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1901,1330,4400
585188,3,2.25,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1975,2230,9340
305000,3,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1977,1540,8400
799000,3,2.5,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1959,2680,10083
400000,3,2.5,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1962,1900,7818
230000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1948,1570,10228
423000,4,2,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1920,1500,6480
465000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2007,1750,2385
440000,3,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1997,2330,67268
210000,3,1,1,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1943,1300,9514
297000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1994,2030,10450
226500,3,1.5,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1976,1430,7500
274250,3,1,1,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1962,1400,8040
677900,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,2750,4587
592500,4,2.5,1,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1983,2520,12368
465000,3,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2005,2590,18386
477000,4,2.75,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1978,2130,8700
1510000,5,3,1,0,3,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,1,1957,3836,20953
1070000,2,2.25,1,0,3,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1947,2580,5184
279950,3,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1961,1900,10125
527000,4,2.25,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1987,1910,10055
325000,3,2.25,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1966,2080,9583
479950,2,2,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2005,1640,6009
500000,4,2.75,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1960,2280,15347
213000,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1961,1150,13702
475000,3,1.5,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1947,2090,4800
416000,3,2,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1976,2070,80100
410000,4,1,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,1,1904,1510,4740
800000,3,3.5,2,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,1993,2920,148539
472000,6,2.5,1,0,2,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1965,2600,13988
210000,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1940,830,4960
455000,2,1,1.5,0,0,2,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1925,1450,3750
480000,2,1,1,0,2,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1918,1390,3060
2400000,4,2.5,1,1,4,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,2000,3120,18841
181000,2,1.5,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1954,1150,2566
250000,4,2,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1976,2010,7650
260000,3,2,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1978,1750,7209
455000,4,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,3060,6567
349500,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1953,1620,6331
245000,3,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1987,1630,6458
592500,2,2,1.5,0,2,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1928,1420,6816
385000,4,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1955,1910,7620
315000,3,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1974,1550,10650
525000,3,2.25,2,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,1979,2380,33450
369900,1,0.75,1,1,4,5,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1936,1230,14267
272500,3,2.5,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1979,2070,8250
2900000,4,3.25,1.5,0,2,3,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,1,1,1982,3890,20060
436000,2,1,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1939,1440,7530
236000,3,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1961,1320,7619
331000,3,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,1,1954,1440,2225
450000,3,2,1,0,0,5,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1960,1660,10530
405000,3,1.75,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1908,2020,6000
304900,4,1.75,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1969,1720,11088
330000,3,3,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1988,2570,13300
370000,4,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1992,2410,8100
405000,3,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1980,1670,7320
389999,4,2.5,2,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1968,2410,15256
580000,4,3,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1986,2320,11004
550000,3,2,2,0,3,5,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1929,2390,4166
404000,3,1.5,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1963,2140,5592
3080000,4,5,1,1,4,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,2002,4550,19508
335000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1998,2510,7903
208633,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2006,2370,4590
315000,3,2.25,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1964,1460,10139
550000,4,2.75,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1965,1800,8275
550700,2,1,1.5,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1908,1460,5000
834000,4,2.5,1.5,0,2,5,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1928,2440,5750
2380000,5,2.5,2,0,4,5,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,1,0,1921,2880,5400
390000,3,2.5,1,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1988,2350,57500
548000,2,1,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1916,1570,3864
819900,5,2.75,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,1560,8384
520000,3,2.25,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1984,2660,17958
230000,3,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2003,1520,9518
240000,3,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1969,1510,9753
232000,2,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,1,1922,1820,7460
186375,3,1,1,0,0,2,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1952,1150,7600
790000,3,2.25,1,0,0,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1977,2500,10004
295000,3,2,1,0,2,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1991,1910,10450
640000,2,1,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1924,1710,5000
940000,4,2,2,0,0,5,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1968,2770,9525
260000,4,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2003,1800,5894
559900,3,2.75,1,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,2004,2580,11045
791500,4,2,1.5,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1911,1820,3750
265000,3,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,1740,8000
245000,3,1.75,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,880,78408
485000,4,1.75,2,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1962,2560,14764
684000,4,3.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,2010,3470,8066
309600,4,1.75,1,0,0,4,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1991,1660,20000
552250,4,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2002,2380,5823
165000,4,1,1,0,0,3,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1943,1020,7138
206600,3,2,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1987,1720,12080
315000,3,1,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1954,1940,14400
437500,2,1,1,0,2,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1907,1930,3120
300000,4,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2005,2010,5091
420000,4,1,1.5,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1954,1750,10530
380000,5,2.5,2,0,0,4,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1978,2470,11340
329500,4,2.5,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1994,1820,8168
604950,3,2.5,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,2013,2040,9363
465000,3,2,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1994,1380,44049
673000,4,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2002,2140,17449
810000,4,2.5,2,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,3400,21455
338000,4,3,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1986,1810,7650
315000,4,2.25,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1954,1810,6929
530000,4,2.25,1,0,0,5,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1954,1810,6929
297000,3,2.25,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1994,1650,7625
595000,4,2,2,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1960,1910,3120
435000,3,1.5,1.5,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,1904,1590,2577
560000,4,2.25,1,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1968,2420,8050
1350000,5,3.5,2,0,2,3,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,1998,4050,19009
799000,4,2.25,2,0,0,4,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1969,2450,9691
927000,4,2.75,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1953,3180,12239
530000,5,2.25,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1958,2110,8800
365000,4,2,1,0,0,1,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1962,2000,10071
557000,3,3.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,2008,1630,1543
352000,2,1,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1937,1560,4500
437000,3,2.5,2,0,0,3,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1994,2430,22357
278500,3,2,1,0,0,3,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1998,1570,5250
840000,4,3.5,1,0,4,4,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1986,3180,36852
517534,2,1,1,0,0,3,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2006,1380,143947
577500,3,2.5,2,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1995,2450,8118
