observation,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
103,699950,3,2.25,2,0,0,4,8,0,1983,0,47.7731,-122.08,2570,47777
104,1.09E+06,3,2.5,2,0,0,3,8,0,1950,2010,47.5814,-122.196,2370,8113
105,290000,3,1,1,0,0,3,7,0,1954,0,47.4375,-122.184,1640,14910
106,375000,3,2.5,1,0,0,4,8,880,1978,0,47.4431,-122.133,2250,8162
107,460000,3,1,1.5,0,0,4,7,500,1939,0,47.6878,-122.38,1240,4005
108,188500,2,1.75,1,0,0,4,8,0,1985,0,47.3813,-122.322,1270,4966
109,680000,4,2.5,2,0,0,4,10,0,1991,0,47.7304,-122.082,2990,35001
110,470000,5,1.75,2,0,0,4,7,0,1942,0,47.6417,-122.109,2500,9433
111,597750,4,2.5,2,0,0,3,8,0,1984,0,47.5386,-122.053,1940,9636
112,570000,3,1.75,1,0,0,5,6,560,1905,0,47.6823,-122.349,1380,3536
113,272500,3,1.75,1,0,0,4,7,380,1980,0,47.3624,-122.031,1540,11656
114,329950,3,1.75,1,0,2,3,7,1000,1971,0,47.5474,-122.295,2090,5500
115,480000,4,2.5,2,0,3,3,9,710,2001,0,47.3183,-122.253,2640,8517
116,740500,3,3.5,2,0,0,3,8,1600,1900,1999,47.6981,-122.368,1830,6350
117,518500,3,3.5,3,0,0,3,8,0,2010,0,47.6824,-122.347,1620,3166
118,205425,2,1,1,0,0,4,6,0,1945,0,47.5009,-122.248,1190,6780
119,171800,4,2,1,0,0,3,6,0,1950,0,47.4965,-122.303,1880,9000
120,535000,4,1,1.5,0,0,4,7,0,1925,0,47.587,-122.294,1610,4040
121,660000,3,2.5,1,0,2,3,8,840,1964,0,47.7728,-122.386,2340,10856
122,391500,3,2,1,0,0,3,7,0,1987,0,47.7288,-122.226,1580,9104
123,395000,2,1,1,0,0,3,6,0,1953,0,47.6999,-122.364,1710,6000
124,445000,4,1.75,1.5,0,0,5,7,380,1924,0,47.5299,-122.266,1850,4400
125,770000,3,2.25,2,0,0,3,9,0,1990,0,47.6897,-122.098,2700,13992
126,1.45E+06,4,2.75,1.5,0,0,3,8,770,1914,1992,47.6141,-122.212,3060,11275
127,445000,3,2.25,1,0,2,3,8,480,1967,0,47.5091,-122.244,2660,8712
128,260000,4,2.25,1,0,0,3,8,800,1978,0,47.3129,-122.39,2090,8400
129,822500,5,3.5,2,0,0,5,7,600,1926,0,47.6763,-122.352,1700,4960
130,430000,4,2.5,2,0,0,3,7,0,2004,0,47.5319,-121.85,1970,3748
131,212000,3,1.75,1,0,0,4,7,0,1986,0,47.2761,-122.152,1420,7680
132,660500,4,2.25,1,0,0,3,8,570,1986,0,47.5343,-122.054,2060,9793
133,784000,3,3.5,1.5,0,0,3,9,1490,1989,0,47.697,-122.072,2480,88500
134,453246,3,2.5,2,0,0,3,8,620,2014,0,47.5517,-121.998,1690,1662
135,675000,4,3.5,3,0,0,3,9,0,2005,0,47.6734,-122.38,1540,2285
136,199000,3,1.75,1,0,0,4,7,0,1956,0,47.3257,-122.296,1550,19265
137,220000,4,1.75,1,0,0,3,7,1010,1968,0,47.3309,-122.299,1750,8140
138,452000,4,2.25,1,0,0,4,8,1250,1968,0,47.7689,-122.266,1550,10436
139,382500,2,1,1,0,0,3,6,0,1981,0,47.7135,-122.287,1060,5715
140,519950,3,2.25,3,0,0,3,8,0,2014,0,47.6722,-122.381,1350,1310
141,665000,2,1,1,0,0,3,7,0,1925,0,47.6338,-122.358,1170,3600
142,527700,5,2.5,1,0,0,4,8,1270,1968,0,47.5707,-122.128,2820,9375
143,205000,3,1,1,0,0,4,7,600,1962,0,47.4563,-122.171,1610,8579
144,420000,3,1,1,0,0,4,7,120,1923,0,47.7144,-122.351,1560,7940
145,500000,4,2.25,1,0,0,4,8,650,1961,0,47.5495,-122.174,2230,8824
146,921500,4,2.5,2,0,0,4,9,0,1994,0,47.7421,-122.026,2840,87991
147,890000,4,1,2,0,0,3,8,180,1905,0,47.6354,-122.353,2200,4000
148,430000,2,2.5,2,0,0,3,7,0,2007,0,47.5262,-121.943,1940,193842
149,258000,5,2,1,0,0,4,8,1130,1960,0,47.3887,-122.286,1360,18000
150,511000,3,1,1,0,0,3,7,450,1947,0,47.6873,-122.336,1450,4599
151,532170,3,2,2,0,0,3,8,0,1990,0,47.6838,-122.353,1500,3090
152,560000,3,1,1.5,0,0,3,7,0,1947,0,47.655,-122.359,1420,5000
153,282950,3,1,1,0,0,4,7,0,1954,0,47.3255,-122.304,1680,8633
154,2.25E+06,4,3.25,2,0,3,3,12,1640,2006,0,47.562,-122.162,3160,9750
155,350000,1,1,1,0,0,3,7,0,1942,0,47.679,-122.3,1010,5100
156,215000,3,1,1,0,0,4,7,0,1967,0,47.4479,-122.176,1190,7669
157,650000,5,3.5,2,0,0,3,9,1460,1996,0,47.525,-122.172,2640,13675
158,320000,4,2.75,1,0,0,3,8,1020,1967,0,47.3135,-122.369,1980,7875
159,247000,3,2,1.5,0,0,3,7,0,1916,2013,47.2086,-121.996,1160,7198
160,320000,4,1.75,1,0,0,4,8,0,1968,0,47.4715,-122.118,1730,11180
161,255000,5,2.25,1,0,0,3,7,1030,1962,0,47.4877,-122.335,1010,11680
162,438000,3,1.75,1,0,0,3,7,0,1962,0,47.7171,-122.193,1200,9660
163,900000,3,2.5,2,0,0,3,10,0,2000,0,47.6012,-122.023,3400,12601
164,441000,3,2.75,1,0,0,3,7,750,1979,0,47.7319,-122.224,1710,8152
165,420000,3,2,1,0,0,4,7,1010,1975,0,47.4582,-122.023,2110,36590
166,370000,3,1.75,1,0,0,3,7,400,1976,0,47.7209,-122.168,1640,7500
167,269950,2,1.75,1,0,0,5,5,640,1949,0,47.408,-122.327,1830,9750
168,807100,4,2.5,2,0,0,3,9,0,1999,0,47.565,-122.125,2920,4500
169,653000,3,2.5,1,0,0,4,8,1070,1979,0,47.7028,-122.231,2480,8750
170,371500,3,2,1,0,0,5,7,0,1964,0,47.7458,-122.331,1770,7288
171,284000,3,1.75,1,0,0,3,7,0,1954,0,47.4776,-122.337,1070,7920
172,272000,3,1.75,1,0,0,4,7,490,1978,0,47.3026,-122.374,1930,7350
173,313000,3,1.5,1.5,0,0,3,7,0,1955,0,47.7658,-122.339,1480,7940
174,917500,4,2.5,2,0,0,3,10,1310,1984,0,47.6477,-122.182,3740,35230
175,673000,4,2.25,2,0,0,4,8,0,1980,0,47.5619,-122.125,2260,8335
176,425000,3,2.5,2,0,0,3,8,300,2008,0,47.6106,-122.31,1590,1795
177,399950,5,2.75,1,0,0,3,7,650,1986,0,47.5868,-122.308,1280,2150
178,385000,3,1,1,0,0,3,6,0,1901,0,47.6101,-122.307,1200,4800
179,269950,3,1.5,1,0,2,4,7,630,1975,0,47.1976,-121.999,1950,8941
180,330000,2,1,1,0,0,3,7,290,1949,0,47.7224,-122.358,1540,8280
181,260000,3,2.5,2,0,0,3,7,0,1988,0,47.3505,-122.179,1670,6183
182,470000,4,3,1.5,0,0,4,7,700,1925,0,47.5384,-122.376,1410,5375
183,589000,4,3,2,0,0,5,7,0,1961,0,47.7044,-122.2,2290,9600
184,163500,2,1.5,2,0,0,3,7,0,1996,0,47.3848,-122.039,1050,3417
185,835000,4,2.75,2,0,0,3,9,990,1993,0,47.6993,-122.102,2260,9984
186,1.10E+06,5,3,1,0,2,4,10,2000,1986,0,47.6627,-122.188,2540,10270
187,269000,4,1.75,1,0,0,4,8,390,1969,0,47.3099,-122.379,2190,8910
188,560000,3,2.5,2,0,0,3,8,0,1987,0,47.62,-122.043,2030,8744
189,615000,4,1,1.5,0,0,4,6,0,1901,0,47.65,-122.34,1330,4400
190,585188,3,2.25,1,0,0,3,8,800,1975,0,47.6647,-122.153,2230,9340
191,305000,3,1.75,1,0,0,3,7,430,1977,0,47.726,-122.191,1540,8400
192,166950,3,1,1,0,0,3,6,0,1959,0,47.4616,-122.184,1230,7980
193,799000,3,2.5,1,0,0,4,8,0,1959,0,47.5505,-122.219,2680,10083
194,400000,3,2.5,1,0,0,4,7,760,1962,0,47.7606,-122.336,1900,7818
195,230000,3,1,1,0,0,3,7,0,1948,0,47.7481,-122.3,1570,10228
196,256883,3,2.5,2,0,0,3,8,0,2003,0,47.2779,-122.347,2550,5001
197,423000,4,2,1.5,0,0,5,7,840,1920,0,47.5511,-122.312,1500,6480
198,465000,3,2.5,2,0,0,3,8,0,2007,0,47.5488,-122.372,1750,2385
199,440000,3,2.5,2,0,0,3,7,0,1997,0,47.5385,-121.911,2330,67268
200,385000,3,1.75,1,0,0,4,7,0,1969,0,47.4058,-121.994,1560,50965
201,210000,3,1,1,0,0,4,6,0,1943,0,47.5093,-122.184,1300,9514
202,297000,3,2.5,2,0,0,3,8,0,1994,0,47.3777,-122.165,2030,10450
203,470000,3,1,1,0,0,3,7,0,1952,0,47.675,-122.394,1680,5000
204,226500,3,1.5,1,0,0,4,7,400,1976,0,47.3025,-122.37,1430,7500
205,274250,3,1,1,0,0,4,6,0,1962,0,47.4787,-122.158,1400,8040
206,840000,4,1.75,1,0,0,4,9,850,1966,0,47.5378,-122.219,2770,10744
207,677900,3,2.5,2,0,0,3,8,0,2010,0,47.7073,-122.114,2750,4587
208,425000,3,1,1,0,0,3,7,0,1915,0,47.5733,-122.381,1290,5000
209,180250,2,0.75,1,0,0,3,6,0,1941,0,47.4604,-122.339,1250,14280
210,464000,6,3,2,0,0,3,7,700,1920,1994,47.7067,-122.343,1560,1312
211,320000,4,2.25,2,0,0,3,8,0,1993,0,47.354,-122.047,1630,6397
212,625504,3,2.25,2,0,0,3,8,210,2014,0,47.6647,-122.284,1160,1327
213,592500,4,2.5,1,0,0,3,9,0,1983,0,47.6143,-122.017,2520,12368
214,465000,3,2.5,2,0,0,3,9,0,2005,0,47.3185,-122.275,2590,18386
215,477000,4,2.75,2,0,0,3,8,0,1978,0,47.5458,-122.268,2130,8700
216,280000,2,1,1,0,0,3,6,0,1923,0,47.4889,-122.299,1100,14459
217,1.51E+06,5,3,1,0,3,3,9,1430,1957,1991,47.5673,-122.21,3836,20953
218,445838,3,2.5,2,0,0,3,8,0,2000,0,47.5133,-122.379,1320,5390
219,1.07E+06,2,2.25,1,0,3,3,8,1950,1947,0,47.5884,-122.291,2580,5184
220,467000,2,1.5,1,0,0,4,8,0,1947,0,47.7145,-122.367,2120,12040
221,686000,4,2.5,2,0,0,3,10,0,1999,0,47.5836,-122.026,3070,8127
222,279950,3,2,1,0,0,3,7,400,1961,0,47.398,-122.299,1900,10125
223,527000,4,2.25,2,0,0,3,8,0,1987,0,47.7663,-122.215,1910,10055
224,325000,3,2.25,1,0,0,4,8,440,1966,0,47.3758,-122.217,2080,9583
225,328000,3,2.25,2,0,0,3,7,0,1994,0,47.3828,-122.023,2020,8031
226,390000,3,2.25,1,0,0,5,7,0,1942,0,47.5123,-122.373,1280,7392
227,479950,2,2,1,0,0,3,8,0,2005,0,47.7076,-122.013,1640,6009
228,264950,4,2.25,1,0,0,4,7,600,1978,0,47.2922,-122.371,1510,9753
229,235000,3,1,1,0,0,4,7,450,1961,0,47.4075,-122.214,1960,13068
230,516500,3,2.5,2,0,0,3,7,0,2004,0,47.6794,-122.034,2250,4729
231,655000,2,1.75,2,1,4,3,7,220,1915,1978,47.4497,-122.375,2030,13193
232,500000,4,2.75,1,0,0,5,7,0,1960,0,47.5218,-122.164,2280,15347
233,315000,6,2.75,1,0,0,3,8,1160,1978,0,47.3103,-122.339,2120,8236
234,213000,2,1,1,0,0,3,6,0,1961,0,47.5687,-121.899,1150,13702
235,475000,3,1.5,1.5,0,0,5,7,860,1947,0,47.5575,-122.303,2090,4800
236,1.03E+06,5,4,2,0,0,3,10,0,1983,0,47.6489,-122.183,3430,35096
237,416000,3,2,1,0,0,5,7,580,1976,0,47.3459,-121.95,2070,80100
238,410000,4,1,1.5,0,0,3,7,300,1904,2005,47.6136,-122.303,1510,4740
239,800000,3,3.5,2,0,0,3,10,300,1993,0,47.7641,-122.023,2920,148539
240,472000,6,2.5,1,0,2,4,9,2060,1965,0,47.3376,-122.324,2600,13988
241,225000,3,1.75,1,0,0,4,7,0,1968,0,47.3173,-122.319,1190,8640
242,210000,2,1,1,0,0,3,6,0,1940,0,47.5308,-122.376,830,4960
243,455000,2,1,1.5,0,0,2,7,0,1925,0,47.6727,-122.299,1450,3750
244,225000,3,1,1,0,0,4,6,0,1954,0,47.3221,-122.216,1260,8316
245,480000,2,1,1,0,2,4,7,240,1918,0,47.6779,-122.353,1390,3060
246,363000,3,2.5,2,0,0,3,9,0,1990,0,47.3076,-122.395,2570,10377
247,2.40E+06,4,2.5,1,1,4,3,9,1820,2000,0,47.6338,-122.072,3120,18841
248,181000,2,1.5,1,0,0,3,6,0,1954,0,47.5218,-122.357,1150,2566
249,250000,4,2,1,0,0,4,7,0,1976,0,47.2785,-122.213,2010,7650
250,481000,3,1.75,1,0,0,4,6,790,1918,0,47.6846,-122.345,1390,3000
251,260000,3,2,1,0,0,4,7,570,1978,0,47.3656,-122.278,1750,7209
252,455000,4,2.5,2,0,0,3,9,0,2001,0,47.4369,-122.111,3060,6567
253,415000,3,2.25,2,0,0,3,8,0,1991,0,47.4616,-121.711,1730,36224
254,349500,3,1,1,0,0,3,7,600,1953,0,47.5405,-122.27,1620,6331
255,245000,3,2.5,2,0,0,3,7,0,1987,0,47.3507,-122.178,1630,6458
256,592500,2,2,1.5,0,2,5,7,0,1928,0,47.6979,-122.32,1420,6816
257,385000,4,1.75,1,0,0,4,7,1180,1955,0,47.5278,-122.345,1910,7620
258,315000,3,1.75,1,0,0,4,7,380,1974,0,47.4756,-122.147,1550,10650
259,255000,3,1,1,0,0,3,7,0,1979,0,47.4437,-121.772,1380,10098
260,693000,4,2.5,2,0,0,3,8,0,2006,0,47.7048,-122.109,2990,5659
261,780000,3,1,1.5,0,0,3,8,200,1911,0,47.6362,-122.302,1660,4400
262,237000,3,1.75,1,0,0,4,7,0,1960,0,47.4207,-122.29,1600,8470
263,525000,3,2.25,2,0,0,3,10,780,1979,0,47.6154,-122.047,2380,33450
264,425000,2,1,1,0,0,3,5,0,1930,0,47.5964,-122.299,1330,2580
265,369900,1,0.75,1,1,4,5,5,0,1936,0,47.4683,-122.438,1230,14267
266,290000,4,2.5,2,0,0,4,7,0,1988,0,47.4045,-122.171,1950,7475
267,285000,3,1,1,0,0,3,7,0,1954,0,47.5544,-122.358,1130,6350
268,415000,2,1,1,0,0,3,7,0,1937,0,47.6802,-122.29,1320,4465
269,272500,3,2.5,1,0,0,3,8,650,1979,0,47.2988,-122.371,2070,8250
270,2.90E+06,4,3.25,1.5,0,2,3,11,300,1982,2008,47.6312,-122.223,3890,20060
271,1.37E+06,4,4.75,2,0,0,4,11,0,1989,0,47.7285,-122.042,4180,47443
272,436000,2,1,1,0,0,4,7,0,1939,0,47.7107,-122.352,1440,7530
273,210000,3,1,1,0,0,4,7,0,1967,0,47.3271,-122.323,1350,8164
274,236000,3,1,1,0,0,3,7,0,1961,0,47.5053,-122.255,1320,7619
275,331000,3,1.75,1,0,0,3,7,500,1954,2003,47.6601,-122.4,1440,2225
276,365000,3,2.5,2,0,0,3,8,0,2006,0,47.4145,-122.166,2653,4927
277,450000,3,2,1,0,0,5,8,0,1960,0,47.4672,-122.165,1660,10530
278,770000,4,2.75,2,0,0,3,9,970,2014,0,47.7618,-122.261,1860,12136
279,455000,4,2.5,1,0,0,3,8,0,1997,0,47.3828,-122.071,2670,49385
280,405000,3,1.75,1,0,0,3,6,1150,1908,0,47.5362,-122.268,2020,6000
281,304900,4,1.75,1,0,0,4,7,990,1969,0,47.3954,-122.206,1720,11088
282,170000,2,1,1,0,0,3,6,0,1931,0,47.5048,-122.272,1650,8775
283,2.05E+06,5,3,2,0,1,5,9,1200,1905,1994,47.6166,-122.287,3050,7556
284,780000,4,2.5,2,0,0,3,9,0,2005,0,47.6811,-122.025,3920,7864
285,330000,3,3,1,0,0,4,8,680,1988,0,47.7486,-122.23,2570,13300
286,370000,4,2.5,2,0,0,3,9,0,1992,0,47.3846,-122.169,2410,8100
287,467000,5,2.25,1,0,0,3,7,650,1979,0,47.7564,-122.144,2300,9750
288,405000,3,1.75,1,0,0,3,7,530,1980,0,47.7198,-122.193,1670,7320
289,675000,5,2.25,1,0,0,3,8,1450,1985,0,47.5461,-122.151,2310,10300
290,500000,2,1,1,0,0,4,7,500,1954,0,47.5712,-122.143,1520,13527
291,389999,4,2.5,2,0,0,4,7,0,1968,0,47.4281,-122.343,2410,15256
292,630000,4,1.75,1,0,2,4,8,1170,1975,0,47.7128,-122.223,2120,9600
293,360000,4,2.5,2,0,0,3,9,0,1992,0,47.3341,-122.255,2280,9937
294,580000,4,3,2,0,0,3,8,1010,1986,0,47.5399,-122.181,2320,11004
295,550000,3,2,2,0,3,5,8,700,1929,0,47.5717,-122.375,2390,4166
296,879000,4,2.5,2,0,0,3,10,0,1994,0,47.5951,-122.017,3150,11374
297,265000,3,2,1,0,0,3,7,0,1993,0,47.3536,-122.144,1740,7316
298,446500,3,2.5,2,0,0,3,8,0,1990,0,47.5084,-122.154,2400,7220
299,404000,3,1.5,1,0,0,3,7,700,1963,0,47.5586,-122.311,2140,5592
300,267500,3,1.75,1,0,2,3,7,500,1957,0,47.4427,-122.274,1630,9052
301,3.08E+06,4,5,1,1,4,3,10,1950,2002,0,47.6053,-122.077,4550,19508
302,335000,3,2.5,2,0,0,3,8,0,1998,0,47.3494,-122.301,2510,7903
303,576000,3,2.5,1,0,0,4,7,970,1948,0,47.6933,-122.393,2190,7310
304,208633,3,2.5,2,0,0,3,8,0,2006,0,47.3537,-122,2370,4590
305,315000,3,2.25,1,0,0,4,7,1080,1964,0,47.476,-122.337,1460,10139
306,725000,3,1.75,1,0,0,4,8,960,1913,0,47.6239,-122.298,1740,4000
307,550000,4,2.75,1,0,0,4,8,400,1965,0,47.7776,-122.384,1800,8275
308,610750,4,2.25,2,0,0,3,8,0,1984,0,47.6459,-122.058,2250,9781
309,550700,2,1,1.5,0,0,4,6,0,1908,0,47.6692,-122.297,1460,5000
310,665000,4,2.75,2,0,0,5,8,1100,1960,0,47.5376,-122.18,2720,8330
311,834000,4,2.5,1.5,0,2,5,8,390,1928,0,47.601,-122.294,2440,5750
312,201000,5,1.75,1.5,0,0,3,6,0,1915,0,47.529,-121.837,1660,78408
313,2.38E+06,5,2.5,2,0,4,5,10,280,1921,0,47.6345,-122.367,2880,5400
314,1.38E+06,4,3.25,1,0,3,3,11,1600,1997,0,47.5503,-122.102,3860,11244
315,1.40E+06,4,3.25,1,0,3,3,11,1600,1997,0,47.5503,-122.102,3860,11244
