bathrooms,floors,waterfront,view,condition_3,condition_4,condition_5,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,basement,renovated,yr_built,sqft_living15,logSqftLot15
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1991,1550,9.0038080865
2.5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1978,2990,10.504985344
1.5,1.5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1920,2850,8.8344826086
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1967,2520,9.8143830775
1.75,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1955,1580,9.1901376647
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1909,1300,8.540909718
1.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1947,1620,10.583549494
2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1976,3530,9.6623709492
3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1987,3930,9.9936481322
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2005,1490,7.6468313914
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2003,2300,8.4497705151
2.5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1991,2860,9.1053131341
2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,1610,8.0359263699
2.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2005,3630,8.9494949535
2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1972,1510,8.6052040687
2.5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1975,1930,8.8847487265
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1965,1630,9.2110401271
2.75,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1983,2120,9.6876298945
2.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,2500,8.6635420878
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1994,2350,8.2187871556
3,2,1,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1980,2280,11.230509502
1.75,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1986,1490,9.014690385
3.5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2007,3220,9.055672892
2.25,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1988,2480,9.3281234076
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1954,1480,8.7577836563
2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1947,1770,9.6046097073
2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1930,1310,9.4688510671
2.75,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1928,2820,9.0359869848
3.25,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2000,4300,9.3858890445
2.25,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,1580,8.0063675677
2.5,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2005,1610,8.3363904806
2.75,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1975,2920,9.3045590472
3.25,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1993,3850,12.10801319
2.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1978,2060,9.0179684793
3.5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1998,3600,9.3752614141
2.5,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1977,3080,9.3129872089
1.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1963,1560,8.9024555922
2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1987,1680,8.5012670409
1.75,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1968,1300,9.2867457032
2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1972,1660,8.794824928
2.75,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1958,2424,9.4262578782
1.5,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1900,1590,8.3002801899
2.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2003,3030,8.5820441637
2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1966,2200,9.45915167
2.5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1999,2720,9.210340372
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1993,1450,9.3658044746
1,1.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1924,1640,8.1116280783
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1946,1420,8.6193887037
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2005,2830,8.9602109556
1,1.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1949,1220,6.492239835
1.75,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1951,1770,8.5171931914
1,1.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1932,1860,9.3767865796
2.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,2080,9.061260149
3.25,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2005,2200,12.090437302
1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1958,1190,8.9306264692
3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2005,2290,8.2967958658
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1951,940,8.5171931914
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,2740,8.7928532886
1,1.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1944,1320,8.8657351521
1.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1978,1360,7.5485559792
2.25,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1985,1780,8.9265175099
1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1979,1870,9.0106691768
2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1900,1920,8.2940496401
2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1994,1360,8.8518065586
2.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1999,2230,8.5387589693
2.5,2,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1976,3980,11.555735881
2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2003,1560,8.3779311241
1.75,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1973,2120,9.1982677907
2.5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1988,3920,10.115691484
2.5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1991,2560,9.187071745
2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2008,1070,6.8330317328
2.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1979,1870,9.1682675956
1.75,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1946,2180,9.0519306352
1.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1956,1570,9.0701583414
3.5,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1965,3230,9.9377440412
2.5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1997,3180,8.8897217993
1,1.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1959,1490,8.5848518399
